# Neutrino flux emitted by a 20 solar mass progenitor with metallicity Z=0.02 and shock revival time 100ms.
# For details and other progenitors, see http://asphwww.ph.noda.tus.ac.jp/snn/index.html
# 
# If you use this model in your work, please cite the following paper:
# Supernova Neutrino Light Curves and Spectra for Various Progenitor Stars: From Core Collapse to Proto-neutron Star Cooling,
# K. Nakazato, K. Sumiyoshi, H. Suzuki, T. Totani, H. Umeda, and S. Yamada,
# Astrophys. J. Supp. 205 (2013) 2, arXiv:1210.6841 [astro-ph.HE]
 -5.000000E-02
  2.35E+02  3.00E+02  1.435551E+28  1.435305E+28  2.969897E+27  6.104767E+24  6.103721E+24  1.262966E+24
 
 -4.000000E-02
  0.00E+00  1.00E+00  4.503494E+55  1.391668E+52  2.542007E+53  7.212718E+48  2.228867E+45  4.071235E+46
  1.00E+00  2.50E+00  9.766933E+54  4.470387E+51  4.536670E+51  2.473257E+49  1.132026E+46  1.148811E+46
  2.50E+00  4.50E+00  3.692221E+55  7.921945E+50  4.585178E+50  1.983408E+50  4.255554E+45  2.463091E+45
  4.50E+00  7.00E+00  8.355311E+55  1.179138E+50  5.589204E+49  7.510441E+50  1.059906E+45  5.024036E+44
  7.00E+00  1.00E+01  1.641748E+56  1.199835E+49  5.233482E+48  2.199916E+51  1.607760E+44  7.012783E+43
  1.00E+01  1.40E+01  1.097931E+53  6.095157E+47  2.577170E+47  2.080669E+48  1.155082E+43  4.883949E+42
  1.40E+01  1.90E+01  1.477641E+51  9.260742E+45  3.666522E+45  3.859695E+46  2.418968E+41  9.577201E+40
  1.90E+01  2.50E+01  4.750722E+48  3.714444E+43  1.356970E+43  1.658265E+44  1.296547E+39  4.736575E+38
  2.50E+01  3.20E+01  3.989134E+45  4.019714E+40  1.407567E+40  1.807038E+41  1.820890E+36  6.376137E+35
  3.20E+01  4.00E+01  9.411457E+41  1.273158E+37  4.467103E+36  5.392714E+37  7.295129E+32  2.559627E+32
  4.00E+01  4.80E+01  1.152644E+38  2.178201E+33  7.930117E+32  8.089016E+33  1.528617E+29  5.565194E+28
  4.80E+01  5.80E+01  5.224447E+33  1.471397E+29  5.635312E+28  4.414910E+29  1.243402E+25  4.762111E+24
  5.80E+01  6.80E+01  7.945138E+28  2.738180E+26  5.739922E+25  7.991322E+24  2.754098E+22  5.773289E+21
  6.80E+01  8.00E+01  4.381079E+26  4.362665E+26  9.026573E+25  5.175238E+22  5.153486E+22  1.066282E+22
  8.00E+01  9.50E+01  7.210985E+26  7.211827E+26  1.492197E+26  1.006813E+23  1.006930E+23  2.083437E+22
  9.50E+01  1.15E+02  1.246057E+27  1.246180E+27  2.578512E+26  2.085872E+23  2.086079E+23  4.316374E+22
  1.15E+02  1.45E+02  2.363446E+27  2.363488E+27  4.890553E+26  4.887889E+23  4.887977E+23  1.011425E+23
  1.45E+02  1.85E+02  4.831982E+27  4.831168E+27  9.997993E+26  1.267488E+24  1.267274E+24  2.622595E+23
  1.85E+02  2.35E+02  9.963481E+27  9.959830E+27  2.061467E+27  3.327271E+24  3.326051E+24  6.884196E+23
  2.35E+02  3.00E+02  2.040045E+28  2.038812E+28  4.220719E+27  8.675414E+24  8.670170E+24  1.794886E+24
 
 -3.500000E-02
  0.00E+00  1.00E+00  4.033862E+55  4.025468E+52  2.269132E+53  6.460534E+48  6.447089E+45  3.634186E+46
  1.00E+00  2.50E+00  1.292263E+55  1.315858E+52  5.710437E+51  3.272367E+49  3.332116E+46  1.446041E+46
  2.50E+00  4.50E+00  4.744526E+55  2.356492E+51  7.627249E+50  2.548691E+50  1.265874E+46  4.097249E+45
  4.50E+00  7.00E+00  8.474993E+55  3.586423E+50  1.169107E+50  7.618021E+50  3.223772E+45  1.050890E+45
  7.00E+00  1.00E+01  1.472675E+56  3.759949E+49  1.326889E+49  1.973361E+51  5.038271E+44  1.778010E+44
  1.00E+01  1.40E+01  3.967743E+53  2.018539E+48  7.756813E+47  7.519197E+48  3.825298E+43  1.469979E+43
  1.40E+01  1.90E+01  5.833467E+51  3.372651E+46  1.299511E+46  1.523741E+47  8.809588E+41  3.394410E+41
  1.90E+01  2.50E+01  2.013789E+49  1.522309E+44  5.629736E+43  7.029239E+44  5.313701E+39  1.965089E+39
  2.50E+01  3.20E+01  1.816003E+46  1.870185E+41  6.841513E+40  8.226315E+41  8.471750E+36  3.099137E+36
  3.20E+01  4.00E+01  4.568219E+42  6.695611E+37  2.526550E+37  2.617565E+38  3.836550E+33  1.447700E+33
  4.00E+01  4.80E+01  5.898956E+38  1.284718E+34  5.187190E+33  4.139767E+34  9.015890E+29  3.640264E+29
  4.80E+01  5.80E+01  2.717361E+34  9.295676E+29  4.008440E+29  2.296301E+30  7.855295E+25  3.387325E+25
  5.80E+01  6.80E+01  4.143423E+29  3.685705E+26  8.282540E+25  4.167509E+25  3.707130E+22  8.330687E+21
  6.80E+01  8.00E+01  5.595753E+26  5.541745E+26  1.147188E+26  6.610094E+22  6.546298E+22  1.355139E+22
  8.00E+01  9.50E+01  9.156669E+26  9.157408E+26  1.895121E+26  1.278473E+23  1.278577E+23  2.646008E+22
  9.50E+01  1.15E+02  1.582150E+27  1.582162E+27  3.274517E+26  2.648485E+23  2.648505E+23  5.481471E+22
  1.15E+02  1.45E+02  3.001008E+27  3.000437E+27  6.210665E+26  6.206443E+23  6.205265E+23  1.284440E+23
  1.45E+02  1.85E+02  6.135535E+27  6.132149E+27  1.269716E+27  1.609426E+24  1.608538E+24  3.330621E+23
  1.85E+02  2.35E+02  1.265105E+28  1.263868E+28  2.617965E+27  4.224775E+24  4.220643E+24  8.742602E+23
  2.35E+02  3.00E+02  2.587310E+28  2.583520E+28  5.354095E+27  1.100269E+25  1.098657E+25  2.276861E+24
 
 -3.000000E-02
  0.00E+00  1.00E+00  3.583931E+55  6.738864E+52  1.932667E+53  5.739934E+48  1.079280E+46  3.095312E+46
  1.00E+00  2.50E+00  1.593185E+55  2.232756E+52  5.016363E+51  4.034384E+49  5.653959E+46  1.270282E+46
  2.50E+00  4.50E+00  5.649365E+55  4.103725E+51  8.274025E+50  3.034758E+50  2.204462E+46  4.444687E+45
  4.50E+00  7.00E+00  8.414624E+55  6.335146E+50  1.573656E+50  7.563755E+50  5.694551E+45  1.414531E+45
  7.00E+00  1.00E+01  1.294013E+56  6.769038E+49  2.069248E+49  1.733957E+51  9.070403E+44  2.772759E+44
  1.00E+01  1.40E+01  8.101185E+53  3.781508E+48  1.366420E+48  1.535242E+49  7.166269E+43  2.589478E+43
  1.40E+01  1.90E+01  1.291293E+52  6.856639E+46  2.627281E+46  3.372943E+47  1.791000E+42  6.862633E+41
  1.90E+01  2.50E+01  4.692886E+49  3.440159E+44  1.314353E+44  1.638077E+45  1.200805E+40  4.587819E+39
  2.50E+01  3.20E+01  4.452831E+46  4.734654E+41  1.852449E+41  2.017088E+42  2.144751E+37  8.391406E+36
  3.20E+01  4.00E+01  1.172599E+43  1.892184E+38  7.893434E+37  6.718930E+38  1.084212E+34  4.522897E+33
  4.00E+01  4.80E+01  1.584622E+39  4.084813E+34  1.902629E+34  1.112055E+35  2.866638E+30  1.335226E+30
  4.80E+01  5.80E+01  7.350295E+34  3.137612E+30  1.578709E+30  6.211355E+30  2.651434E+26  1.334086E+26
  5.80E+01  6.80E+01  1.139276E+30  5.000078E+26  1.368344E+26  1.145899E+26  5.029144E+22  1.376298E+22
